p1	p2	rg	se	p	FDR
rectum	BCAC_Onco_iCOGs_GWAS	0.04562	0.09811	0.642	0.8415523809523808
rectum	BCAC_Onco_iCOGs_HER2	0.2222	0.2663	0.4041	0.7633744186046512
rectum	BCAC_Onco_iCOGs_luminalA	0.07446	0.1071	0.4868	0.8004597938144331
rectum	BCAC_Onco_iCOGs_luminalB	-0.1643	0.18899999999999997	0.3847	0.7575265432098766
rectum	BCAC_Onco_iCOGs_luminalBHER2Neg	0.2068	0.1658	0.2122	0.6061
rectum	BCAC_Onco_iCOGs_TripleN	-0.03188	0.17	0.8512	0.9273708474576271
rectum	bladder	-0.2629	0.3079	0.39299999999999996	0.7633744186046512
rectum	brca1_bc	-0.1995	0.2263	0.37799999999999995	0.7575265432098766
rectum	brca1_oc	0.2178	0.3194	0.4953	0.8061260204081633
rectum	brca2_bc	-0.09983	0.2543	0.6947	0.8523434615384615
rectum	brca2_oc	0.1735	0.7854	0.8251	0.9107505190311419
rectum	breast	0.07356	0.1215	0.5447	0.8196976958525345
rectum	cervix	0.2544	0.2231	0.254	0.6430634920634921
rectum	CIMBA_BCAC_TN	-0.08095	0.1374	0.5557	0.8196976958525345
rectum	colon	1.1159999999999999	0.3213	0.0005164	0.00411829
rectum	endom	0.1765	0.2295	0.4419	0.778818232044199
rectum	gastricesoph	1.234	1.3880000000000001	0.3743	0.7575265432098766
rectum	kidney	0.6305	0.4738	0.1832	0.5907407407407408
rectum	leukemia	-0.0639	0.35600000000000004	0.8576	0.9273708474576271
rectum	lung	-0.002334	0.2205	0.9916	0.9963
rectum	melanoma	0.1418	0.1699	0.4038	0.7633744186046512
rectum	NHL	0.09973	0.2987	0.7384	0.8789164179104476
rectum	oralpharynx				
rectum	ovary				
rectum	pancreas	0.1486	0.6383	0.8159	0.9037225694444444
rectum	prostate	-0.001441	0.1417	0.9919	0.9963
rectum	thyroid	0.5006	0.4275	0.2416	0.634172
leukemia	BCAC_Onco_iCOGs_GWAS	-0.01348	0.1485	0.9277	0.9727415032679739
leukemia	BCAC_Onco_iCOGs_HER2	0.5906	0.4782	0.2169	0.6072095652173913
leukemia	BCAC_Onco_iCOGs_luminalA	0.005625	0.146	0.9693	0.9914479233226837
leukemia	BCAC_Onco_iCOGs_luminalB	-0.030719999999999997	0.2569	0.9048	0.9621040000000001
leukemia	BCAC_Onco_iCOGs_luminalBHER2Neg	-0.272	0.2638	0.3025	0.6992572463768116
leukemia	BCAC_Onco_iCOGs_TripleN	-0.2634	0.319	0.409	0.7633744186046512
leukemia	bladder	0.6519	0.4904	0.1837	0.5907407407407408
leukemia	brca1_bc	0.2726	0.3172	0.3901	0.7633744186046512
leukemia	brca1_oc	0.1866	0.3546	0.5987	0.8376548245614036
leukemia	brca2_bc	-0.0883	0.3541	0.8031	0.903573076923077
leukemia	brca2_oc	0.03302	0.9667	0.9728	0.9914479233226837
leukemia	breast	0.1247	0.1713	0.4668	0.7878793650793651
leukemia	cervix	0.1107	0.3001	0.7123	0.8639684410646389
leukemia	CIMBA_BCAC_TN	-0.08462	0.1914	0.6584	0.8415523809523808
leukemia	colon	0.6013	0.365	0.09951	0.3824540963855421
leukemia	endom	0.3299	0.3534	0.3506	0.7575265432098766
leukemia	gastricesoph	-0.9613	1.392	0.4898	0.8012625641025641
leukemia	kidney	-0.8214	0.7071	0.2454	0.634172
leukemia	lung	-0.1685	0.2918	0.5637	0.821135
leukemia	melanoma	0.00218	0.2211	0.9921	0.9963
leukemia	NHL	0.2704	0.4282	0.5278	0.8196976958525345
leukemia	oralpharynx				
leukemia	ovary				
leukemia	pancreas	-1.3230000000000002	1.611	0.4115	0.7633744186046512
leukemia	prostate	0.1209	0.1731	0.4848	0.8004597938144331
leukemia	rectum	-0.0639	0.35600000000000004	0.8576	0.9273708474576271
leukemia	thyroid	-0.1828	0.4463	0.6821	0.8512848837209303
BCAC_Onco_iCOGs_TripleN	BCAC_Onco_iCOGs_GWAS	0.6819	0.04987	1.4529999999999998e-42	4.635069999999999e-41
BCAC_Onco_iCOGs_TripleN	BCAC_Onco_iCOGs_HER2	0.9595	0.2332	3.876e-05	0.0003341740540540541
BCAC_Onco_iCOGs_TripleN	BCAC_Onco_iCOGs_luminalA	0.5364	0.06352999999999999	3.091e-17	6.16268125e-16
BCAC_Onco_iCOGs_TripleN	BCAC_Onco_iCOGs_luminalB	0.7325	0.092	1.692e-15	2.9986e-14
BCAC_Onco_iCOGs_TripleN	BCAC_Onco_iCOGs_luminalBHER2Neg	0.5314	0.09419	1.6819999999999998e-08	2.2356583333333328e-07
BCAC_Onco_iCOGs_TripleN	bladder	0.07128	0.1801	0.6923	0.8523434615384615
BCAC_Onco_iCOGs_TripleN	brca1_bc	0.89	0.1874	2.041e-06	2.325282142857143e-05
BCAC_Onco_iCOGs_TripleN	brca1_oc	-0.1075	0.2356	0.648	0.8415523809523808
BCAC_Onco_iCOGs_TripleN	brca2_bc	0.1885	0.1578	0.2325	0.6315118644067796
BCAC_Onco_iCOGs_TripleN	brca2_oc				
BCAC_Onco_iCOGs_TripleN	breast	0.5618	0.08061	3.1860000000000004e-12	5.081670000000001e-11
BCAC_Onco_iCOGs_TripleN	cervix	0.1788	0.1393	0.1991	0.5907407407407408
BCAC_Onco_iCOGs_TripleN	CIMBA_BCAC_TN	1.137	0.041089999999999995	1.9779999999999994e-168	3.154909999999999e-166
BCAC_Onco_iCOGs_TripleN	colon	-0.2452	0.138	0.07561	0.31736302631578944
BCAC_Onco_iCOGs_TripleN	endom	-0.09386	0.1526	0.5384	0.8196976958525345
BCAC_Onco_iCOGs_TripleN	gastricesoph				
BCAC_Onco_iCOGs_TripleN	kidney	0.3238	0.2493	0.1941	0.5907407407407408
BCAC_Onco_iCOGs_TripleN	leukemia	-0.2634	0.319	0.409	0.7633744186046512
BCAC_Onco_iCOGs_TripleN	lung	-0.1075	0.1381	0.4362	0.7773620111731843
BCAC_Onco_iCOGs_TripleN	melanoma	0.2048	0.1101	0.06289	0.28256211267605635
BCAC_Onco_iCOGs_TripleN	NHL	-0.044660000000000005	0.1858	0.8101	0.903573076923077
BCAC_Onco_iCOGs_TripleN	oralpharynx	0.016069999999999997	0.4452	0.9712	0.9914479233226837
BCAC_Onco_iCOGs_TripleN	ovary				
BCAC_Onco_iCOGs_TripleN	pancreas	-0.2828	0.6124	0.6442	0.8415523809523808
BCAC_Onco_iCOGs_TripleN	prostate	0.04792	0.0924	0.6041	0.8405857142857143
BCAC_Onco_iCOGs_TripleN	rectum	-0.03188	0.17	0.8512	0.9273708474576271
BCAC_Onco_iCOGs_TripleN	thyroid	0.4082	0.2361	0.08382	0.33802037500000004
kidney	BCAC_Onco_iCOGs_GWAS	0.16	0.1468	0.2758	0.6820170542635658
kidney	BCAC_Onco_iCOGs_HER2	0.04038	0.3648	0.9119	0.9664322259136213
kidney	BCAC_Onco_iCOGs_luminalA	0.263	0.1753	0.1335	0.483876404494382
kidney	BCAC_Onco_iCOGs_luminalB	0.1011	0.2205	0.6465	0.8415523809523808
kidney	BCAC_Onco_iCOGs_luminalBHER2Neg	-0.06348999999999999	0.2251	0.7779	0.9003519572953737
kidney	BCAC_Onco_iCOGs_TripleN	0.3238	0.2493	0.1941	0.5907407407407408
kidney	bladder	0.2166	0.4758	0.649	0.8415523809523808
kidney	brca1_bc	0.2588	0.3621	0.4748	0.7971642105263158
kidney	brca1_oc	0.3131	0.4475	0.4841	0.8004597938144331
kidney	brca2_bc	-0.1123	0.3742	0.764	0.896014705882353
kidney	brca2_oc	0.8723	1.749	0.6179	0.8415523809523808
kidney	breast	0.2864	0.221	0.1951	0.5907407407407408
kidney	cervix	0.2065	0.3499	0.5551	0.8196976958525345
kidney	CIMBA_BCAC_TN	0.2585	0.2237	0.2478	0.634172
kidney	colon	0.08878	0.3156	0.7785	0.9003519572953737
kidney	endom	0.3671	0.3392	0.2792	0.6851138461538462
kidney	gastricesoph	0.605	1.2429999999999999	0.6265	0.8415523809523808
kidney	leukemia	-0.8214	0.7071	0.2454	0.634172
kidney	lung	0.7168	0.4584	0.1179	0.43413333333333337
kidney	melanoma	-0.01937	0.2201	0.9298	0.9727415032679739
kidney	NHL	0.2433	0.5257	0.6435	0.8415523809523808
kidney	oralpharynx				
kidney	ovary				
kidney	pancreas	0.9897	1.286	0.4414	0.778818232044199
kidney	prostate	0.2354	0.213	0.2691	0.6759283464566929
kidney	rectum	0.6305	0.4738	0.1832	0.5907407407407408
kidney	thyroid	0.6562	0.5656	0.24600000000000002	0.634172
gastricesoph	BCAC_Onco_iCOGs_GWAS				
gastricesoph	BCAC_Onco_iCOGs_HER2				
gastricesoph	BCAC_Onco_iCOGs_luminalA				
gastricesoph	BCAC_Onco_iCOGs_luminalB				
gastricesoph	BCAC_Onco_iCOGs_luminalBHER2Neg				
gastricesoph	BCAC_Onco_iCOGs_TripleN				
gastricesoph	bladder	1.2670000000000001	1.5430000000000001	0.4116	0.7633744186046512
gastricesoph	brca1_bc	1.024	1.3030000000000002	0.4323	0.7773620111731843
gastricesoph	brca1_oc	-0.4949	0.9274	0.5936	0.8376548245614036
gastricesoph	brca2_bc	0.7373	0.9969	0.4595	0.7838529411764706
gastricesoph	brca2_oc	-1.178	3.051	0.6993	0.8547
gastricesoph	breast	0.5819	0.6869	0.3969	0.7633744186046512
gastricesoph	cervix	0.2868	0.598	0.6316	0.8415523809523808
gastricesoph	CIMBA_BCAC_TN	0.4332	0.5732	0.4498	0.7812913513513513
gastricesoph	colon	0.4286	0.6368	0.5009	0.8070055555555555
gastricesoph	endom	-0.1366	0.5853	0.8154	0.9037225694444444
gastricesoph	kidney	0.605	1.2429999999999999	0.6265	0.8415523809523808
gastricesoph	leukemia	-0.9613	1.392	0.4898	0.8012625641025641
gastricesoph	lung	1.861	1.9909999999999999	0.3501	0.7575265432098766
gastricesoph	melanoma	-0.4049	0.5997	0.4996	0.8070055555555555
gastricesoph	NHL	0.9285	1.146	0.4177	0.7702098265895954
gastricesoph	oralpharynx				
gastricesoph	ovary				
gastricesoph	pancreas	1.32	2.355	0.575	0.8283986547085201
gastricesoph	prostate	0.2147	0.373	0.5649	0.821135
gastricesoph	rectum	1.234	1.3880000000000001	0.3743	0.7575265432098766
gastricesoph	thyroid	-1.022	1.44	0.4779	0.7981680628272251
brca2_bc	BCAC_Onco_iCOGs_GWAS	0.5131	0.1145	7.4579999999999996e-06	7.43469375e-05
brca2_bc	BCAC_Onco_iCOGs_HER2	0.9063	0.2835	0.001389	0.010304441860465115
brca2_bc	BCAC_Onco_iCOGs_luminalA	0.5042	0.1172	1.702e-05	0.00015968764705882353
brca2_bc	BCAC_Onco_iCOGs_luminalB	0.4139	0.1695	0.01459	0.08165280701754386
brca2_bc	BCAC_Onco_iCOGs_luminalBHER2Neg	0.6261	0.1697	0.0002242	0.0018338410256410257
brca2_bc	BCAC_Onco_iCOGs_TripleN	0.1885	0.1578	0.2325	0.6315118644067796
brca2_bc	bladder	0.2376	0.3189	0.4562	0.7824075268817203
brca2_bc	brca1_bc	0.3395	0.1945	0.0808	0.33114653846153846
brca2_bc	brca1_oc	-0.07012	0.2642	0.7907	0.9003519572953737
brca2_bc	brca2_oc	-0.5559	0.5306	0.2948	0.6966014814814815
brca2_bc	breast	0.6219	0.1316	2.296e-06	2.5256e-05
brca2_bc	cervix	0.1205	0.2015	0.5498	0.8196976958525345
brca2_bc	CIMBA_BCAC_TN	0.2868	0.1103	0.009297	0.05695052830188679
brca2_bc	colon	0.1534	0.1906	0.4211	0.7720166666666667
brca2_bc	endom	0.05338	0.2035	0.7931	0.9003519572953737
brca2_bc	gastricesoph	0.7373	0.9969	0.4595	0.7838529411764706
brca2_bc	kidney	-0.1123	0.3742	0.764	0.896014705882353
brca2_bc	leukemia	-0.0883	0.3541	0.8031	0.903573076923077
brca2_bc	lung	0.4763	0.1997	0.01707	0.09229372881355932
brca2_bc	melanoma	0.12300000000000001	0.1358	0.3648	0.7575265432098766
brca2_bc	NHL	0.3327	0.3034	0.2729	0.68011796875
brca2_bc	oralpharynx				
brca2_bc	ovary				
brca2_bc	pancreas	0.4071	0.7340000000000001	0.5791	0.8283986547085201
brca2_bc	prostate	0.1074	0.1352	0.4272	0.7773620111731843
brca2_bc	rectum	-0.09983	0.2543	0.6947	0.8523434615384615
brca2_bc	thyroid	0.2665	0.2767	0.3355	0.74765625
BCAC_Onco_iCOGs_luminalB	BCAC_Onco_iCOGs_GWAS	0.9075	0.04295	4.31e-99	2.291483333333333e-97
BCAC_Onco_iCOGs_luminalB	BCAC_Onco_iCOGs_HER2	0.6908	0.1623	2.068e-05	0.00018848342857142854
BCAC_Onco_iCOGs_luminalB	BCAC_Onco_iCOGs_luminalA	0.8045	0.05429	1.111e-49	4.4301125000000004e-48
BCAC_Onco_iCOGs_luminalB	BCAC_Onco_iCOGs_luminalBHER2Neg	0.929	0.09594	3.5689999999999997e-22	8.132221428571428e-21
BCAC_Onco_iCOGs_luminalB	BCAC_Onco_iCOGs_TripleN	0.7325	0.092	1.692e-15	2.9986e-14
BCAC_Onco_iCOGs_luminalB	bladder	0.1593	0.1763	0.3663	0.7575265432098766
BCAC_Onco_iCOGs_luminalB	brca1_bc	0.4323	0.1503	0.00404	0.027420425531914896
BCAC_Onco_iCOGs_luminalB	brca1_oc	0.0927	0.2081	0.6559	0.8415523809523808
BCAC_Onco_iCOGs_luminalB	brca2_bc	0.4139	0.1695	0.01459	0.08165280701754386
BCAC_Onco_iCOGs_luminalB	brca2_oc				
BCAC_Onco_iCOGs_luminalB	breast	0.8392	0.07726	1.757e-27	4.3114076923076924e-26
BCAC_Onco_iCOGs_luminalB	cervix	0.02458	0.1213	0.8394	0.9220305841924399
BCAC_Onco_iCOGs_luminalB	CIMBA_BCAC_TN	0.6359	0.09067	2.331e-12	3.913626315789474e-11
BCAC_Onco_iCOGs_luminalB	colon	0.08401	0.1394	0.5467	0.8196976958525345
BCAC_Onco_iCOGs_luminalB	endom	0.2767	0.127	0.0293	0.14836031746031744
BCAC_Onco_iCOGs_luminalB	gastricesoph				
BCAC_Onco_iCOGs_luminalB	kidney	0.1011	0.2205	0.6465	0.8415523809523808
BCAC_Onco_iCOGs_luminalB	leukemia	-0.030719999999999997	0.2569	0.9048	0.9621040000000001
BCAC_Onco_iCOGs_luminalB	lung	-0.061989999999999996	0.11699999999999999	0.5961	0.8376548245614036
BCAC_Onco_iCOGs_luminalB	melanoma	0.2673	0.1011	0.008193	0.05124641176470589
BCAC_Onco_iCOGs_luminalB	NHL	-0.03035	0.1514	0.8411	0.9220305841924399
BCAC_Onco_iCOGs_luminalB	oralpharynx	-0.04097	0.3963	0.9177	0.9693586092715231
BCAC_Onco_iCOGs_luminalB	ovary				
BCAC_Onco_iCOGs_luminalB	pancreas	0.5728	0.8914	0.5204	0.8196976958525345
BCAC_Onco_iCOGs_luminalB	prostate	0.09398	0.07334	0.2	0.5907407407407408
BCAC_Onco_iCOGs_luminalB	rectum	-0.1643	0.18899999999999997	0.3847	0.7575265432098766
BCAC_Onco_iCOGs_luminalB	thyroid	0.2306	0.1875	0.2189	0.6072095652173913
bladder	BCAC_Onco_iCOGs_GWAS	0.1568	0.1137	0.1678	0.5755720430107527
bladder	BCAC_Onco_iCOGs_HER2	0.2979	0.3027	0.325	0.7405357142857143
bladder	BCAC_Onco_iCOGs_luminalA	0.17	0.1273	0.1816	0.5907407407407408
bladder	BCAC_Onco_iCOGs_luminalB	0.1593	0.1763	0.3663	0.7575265432098766
bladder	BCAC_Onco_iCOGs_luminalBHER2Neg	0.1101	0.183	0.5474	0.8196976958525345
bladder	BCAC_Onco_iCOGs_TripleN	0.07128	0.1801	0.6923	0.8523434615384615
bladder	brca1_bc	0.3855	0.299	0.1973	0.5907407407407408
bladder	brca1_oc	0.3399	0.3776	0.3681	0.7575265432098766
bladder	brca2_bc	0.2376	0.3189	0.4562	0.7824075268817203
bladder	brca2_oc	-1.004	1.7009999999999998	0.5549	0.8196976958525345
bladder	breast	0.2711	0.1485	0.06786	0.29253162162162166
bladder	cervix	-0.1076	0.2388	0.6523	0.8415523809523808
bladder	CIMBA_BCAC_TN	0.2124	0.1682	0.2065	0.6043440366972477
bladder	colon	0.4739	0.248	0.055979999999999995	0.25510885714285714
bladder	endom	0.2949	0.2738	0.2814	0.6852412213740458
bladder	gastricesoph	1.2670000000000001	1.5430000000000001	0.4116	0.7633744186046512
bladder	kidney	0.2166	0.4758	0.649	0.8415523809523808
bladder	leukemia	0.6519	0.4904	0.1837	0.5907407407407408
bladder	lung	0.20600000000000002	0.2468	0.4039	0.7633744186046512
bladder	melanoma	0.1998	0.1897	0.2922	0.6966014814814815
bladder	NHL	0.9184	0.415	0.02688	0.14062147540983605
bladder	oralpharynx				
bladder	ovary				
bladder	pancreas	-0.4332	0.7878	0.5824	0.8286911111111112
bladder	prostate	-0.1558	0.1763	0.3769	0.7575265432098766
bladder	rectum	-0.2629	0.3079	0.39299999999999996	0.7633744186046512
bladder	thyroid	0.3294	0.4227	0.4359	0.7773620111731843
pancreas	BCAC_Onco_iCOGs_GWAS	0.0632	0.2487	0.7994	0.903573076923077
pancreas	BCAC_Onco_iCOGs_HER2	-0.003039	0.6639	0.9963	0.9963
pancreas	BCAC_Onco_iCOGs_luminalA	0.04711	0.2804	0.8666	0.9307925925925926
pancreas	BCAC_Onco_iCOGs_luminalB	0.5728	0.8914	0.5204	0.8196976958525345
pancreas	BCAC_Onco_iCOGs_luminalBHER2Neg	0.1724	0.4284	0.6874	0.8512848837209303
pancreas	BCAC_Onco_iCOGs_TripleN	-0.2828	0.6124	0.6442	0.8415523809523808
pancreas	bladder	-0.4332	0.7878	0.5824	0.8286911111111112
pancreas	brca1_bc	-0.09788999999999999	0.5433	0.857	0.9273708474576271
pancreas	brca1_oc	0.5653	0.7689	0.4622	0.7842648936170213
pancreas	brca2_bc	0.4071	0.7340000000000001	0.5791	0.8283986547085201
pancreas	brca2_oc	0.3055	1.785	0.8641	0.9307925925925926
pancreas	breast	0.07929	0.28800000000000003	0.7829999999999999	0.9003519572953737
pancreas	cervix	0.8891	0.993	0.3706	0.7575265432098766
pancreas	CIMBA_BCAC_TN	-0.1824	0.4009	0.6492	0.8415523809523808
pancreas	colon	0.6857	0.7527	0.3623	0.7575265432098766
pancreas	endom	0.2295	0.5402	0.6709999999999999	0.8442196850393701
pancreas	gastricesoph	1.32	2.355	0.575	0.8283986547085201
pancreas	kidney	0.9897	1.286	0.4414	0.778818232044199
pancreas	leukemia	-1.3230000000000002	1.611	0.4115	0.7633744186046512
pancreas	lung	0.1189	0.4858	0.8067	0.903573076923077
pancreas	melanoma	0.004472	0.3663	0.9903	0.9963
pancreas	NHL	-0.8402	1.099	0.4444	0.7789208791208792
pancreas	oralpharynx				
pancreas	ovary				
pancreas	prostate	0.2995	0.3796	0.4302	0.7773620111731843
pancreas	rectum	0.1486	0.6383	0.8159	0.9037225694444444
pancreas	thyroid	0.04668	0.775	0.9520000000000001	0.9828090614886733
lung	BCAC_Onco_iCOGs_GWAS	-0.0271	0.07593	0.7212	0.8663368421052632
lung	BCAC_Onco_iCOGs_HER2	0.1698	0.1947	0.3832	0.7575265432098766
lung	BCAC_Onco_iCOGs_luminalA	-0.04249	0.08578	0.6203	0.8415523809523808
lung	BCAC_Onco_iCOGs_luminalB	-0.061989999999999996	0.11699999999999999	0.5961	0.8376548245614036
lung	BCAC_Onco_iCOGs_luminalBHER2Neg	0.1649	0.1261	0.1912	0.5907407407407408
lung	BCAC_Onco_iCOGs_TripleN	-0.1075	0.1381	0.4362	0.7773620111731843
lung	bladder	0.20600000000000002	0.2468	0.4039	0.7633744186046512
lung	brca1_bc	0.2196	0.1795	0.2212	0.6083
lung	brca1_oc	0.2171	0.2263	0.3375	0.74765625
lung	brca2_bc	0.4763	0.1997	0.01707	0.09229372881355932
lung	brca2_oc	-0.5881	1.149	0.6087	0.8405857142857143
lung	breast	0.025480000000000003	0.09623	0.7912	0.9003519572953737
lung	cervix	0.2157	0.1724	0.2109	0.6061
lung	CIMBA_BCAC_TN	0.07011	0.107	0.5121	0.8196976958525345
lung	colon	0.05149	0.1703	0.7624	0.896014705882353
lung	endom	0.2473	0.1888	0.1904	0.5907407407407408
lung	gastricesoph	1.861	1.9909999999999999	0.3501	0.7575265432098766
lung	kidney	0.7168	0.4584	0.1179	0.43413333333333337
lung	leukemia	-0.1685	0.2918	0.5637	0.821135
lung	melanoma	-0.2217	0.1271	0.08097	0.33114653846153846
lung	NHL	0.2911	0.2516	0.2473	0.634172
lung	oralpharynx				
lung	ovary				
lung	pancreas	0.1189	0.4858	0.8067	0.903573076923077
lung	prostate	0.2272	0.1113	0.04116	0.2020006153846154
lung	rectum	-0.002334	0.2205	0.9916	0.9963
lung	thyroid	0.1185	0.2736	0.6648	0.8415523809523808
CIMBA_BCAC_TN	BCAC_Onco_iCOGs_GWAS	0.659	0.04963	3.0269999999999996e-40	8.778299999999999e-39
CIMBA_BCAC_TN	BCAC_Onco_iCOGs_HER2	0.9441	0.2093	6.473e-06	6.660925806451613e-05
CIMBA_BCAC_TN	BCAC_Onco_iCOGs_luminalA	0.5196	0.05934	2.015e-18	4.2852333333333335e-17
CIMBA_BCAC_TN	BCAC_Onco_iCOGs_luminalB	0.6359	0.09067	2.331e-12	3.913626315789474e-11
CIMBA_BCAC_TN	BCAC_Onco_iCOGs_luminalBHER2Neg	0.4958	0.08514	5.7879999999999995e-09	8.027704347826086e-08
CIMBA_BCAC_TN	BCAC_Onco_iCOGs_TripleN	1.137	0.041089999999999995	1.9779999999999994e-168	3.154909999999999e-166
CIMBA_BCAC_TN	bladder	0.2124	0.1682	0.2065	0.6043440366972477
CIMBA_BCAC_TN	brca1_bc	0.8434	0.06012000000000001	1.0509999999999998e-44	3.72521111111111e-43
CIMBA_BCAC_TN	brca1_oc	-0.2636	0.1436	0.06648	0.29050849315068494
CIMBA_BCAC_TN	brca2_bc	0.2868	0.1103	0.009297	0.05695052830188679
CIMBA_BCAC_TN	brca2_oc	-0.1723	0.3151	0.5845	0.8286911111111112
CIMBA_BCAC_TN	breast	0.5539	0.06731000000000001	1.892e-16	3.5502823529411765e-15
CIMBA_BCAC_TN	cervix	-0.04481	0.1207	0.7105	0.8639684410646389
CIMBA_BCAC_TN	colon	-0.01635	0.12	0.8916	0.951238795986622
CIMBA_BCAC_TN	endom	-0.03269	0.111	0.7683	0.8977571428571428
CIMBA_BCAC_TN	gastricesoph	0.4332	0.5732	0.4498	0.7812913513513513
CIMBA_BCAC_TN	kidney	0.2585	0.2237	0.2478	0.634172
CIMBA_BCAC_TN	leukemia	-0.08462	0.1914	0.6584	0.8415523809523808
CIMBA_BCAC_TN	lung	0.07011	0.107	0.5121	0.8196976958525345
CIMBA_BCAC_TN	melanoma	0.1201	0.09745	0.2177	0.6072095652173913
CIMBA_BCAC_TN	NHL	0.001033	0.1514	0.9946	0.9963
CIMBA_BCAC_TN	oralpharynx				
CIMBA_BCAC_TN	ovary				
CIMBA_BCAC_TN	pancreas	-0.1824	0.4009	0.6492	0.8415523809523808
CIMBA_BCAC_TN	prostate	-0.0052759999999999994	0.06674	0.937	0.9736254071661238
CIMBA_BCAC_TN	rectum	-0.08095	0.1374	0.5557	0.8196976958525345
CIMBA_BCAC_TN	thyroid	0.315	0.2143	0.1416	0.5018933333333334
BCAC_Onco_iCOGs_luminalA	BCAC_Onco_iCOGs_GWAS	0.958	0.007520999999999999	0.0	0.0
BCAC_Onco_iCOGs_luminalA	BCAC_Onco_iCOGs_HER2	0.7528	0.1285	4.717e-09	6.83965e-08
BCAC_Onco_iCOGs_luminalA	BCAC_Onco_iCOGs_luminalB	0.8045	0.05429	1.111e-49	4.4301125000000004e-48
BCAC_Onco_iCOGs_luminalA	BCAC_Onco_iCOGs_luminalBHER2Neg	0.9133	0.052070000000000005	7.030999999999998e-69	3.204127142857142e-67
BCAC_Onco_iCOGs_luminalA	BCAC_Onco_iCOGs_TripleN	0.5364	0.06352999999999999	3.091e-17	6.16268125e-16
BCAC_Onco_iCOGs_luminalA	bladder	0.17	0.1273	0.1816	0.5907407407407408
BCAC_Onco_iCOGs_luminalA	brca1_bc	0.4771	0.10300000000000001	3.648e-06	3.87904e-05
BCAC_Onco_iCOGs_luminalA	brca1_oc	-0.1866	0.1301	0.1513	0.5303813186813187
BCAC_Onco_iCOGs_luminalA	brca2_bc	0.5042	0.1172	1.702e-05	0.00015968764705882353
BCAC_Onco_iCOGs_luminalA	brca2_oc				
BCAC_Onco_iCOGs_luminalA	breast	0.9972	0.04658	1.1339999999999996e-101	7.234919999999998e-100
BCAC_Onco_iCOGs_luminalA	cervix	0.3077	0.07397999999999999	3.194e-05	0.0002830238888888889
BCAC_Onco_iCOGs_luminalA	CIMBA_BCAC_TN	0.5196	0.05934	2.015e-18	4.2852333333333335e-17
BCAC_Onco_iCOGs_luminalA	colon	0.03106	0.08634	0.7190000000000001	0.8663368421052632
BCAC_Onco_iCOGs_luminalA	endom	0.2642	0.09837	0.007242	0.046203959999999995
BCAC_Onco_iCOGs_luminalA	gastricesoph				
BCAC_Onco_iCOGs_luminalA	kidney	0.263	0.1753	0.1335	0.483876404494382
BCAC_Onco_iCOGs_luminalA	leukemia	0.005625	0.146	0.9693	0.9914479233226837
BCAC_Onco_iCOGs_luminalA	lung	-0.04249	0.08578	0.6203	0.8415523809523808
BCAC_Onco_iCOGs_luminalA	melanoma	0.1577	0.06264	0.01183	0.068614
BCAC_Onco_iCOGs_luminalA	NHL	0.1345	0.1004	0.1804	0.5907407407407408
BCAC_Onco_iCOGs_luminalA	oralpharynx	0.0676	0.2783	0.8081	0.903573076923077
BCAC_Onco_iCOGs_luminalA	ovary				
BCAC_Onco_iCOGs_luminalA	pancreas	0.04711	0.2804	0.8666	0.9307925925925926
BCAC_Onco_iCOGs_luminalA	prostate	0.1225	0.04482	0.006295	0.041835520833333334
BCAC_Onco_iCOGs_luminalA	rectum	0.07446	0.1071	0.4868	0.8004597938144331
BCAC_Onco_iCOGs_luminalA	thyroid	0.2434	0.1325	0.06623	0.29050849315068494
brca1_bc	BCAC_Onco_iCOGs_GWAS	0.5319	0.1031	2.465e-07	3.0243653846153847e-06
brca1_bc	BCAC_Onco_iCOGs_HER2	0.9381	0.2817	0.0008673	0.006748017073170731
brca1_bc	BCAC_Onco_iCOGs_luminalA	0.4771	0.10300000000000001	3.648e-06	3.87904e-05
brca1_bc	BCAC_Onco_iCOGs_luminalB	0.4323	0.1503	0.00404	0.027420425531914896
brca1_bc	BCAC_Onco_iCOGs_luminalBHER2Neg	0.4133	0.1404	0.003252	0.02305306666666667
brca1_bc	BCAC_Onco_iCOGs_TripleN	0.89	0.1874	2.041e-06	2.325282142857143e-05
brca1_bc	bladder	0.3855	0.299	0.1973	0.5907407407407408
brca1_bc	brca1_oc	-0.4649	0.221	0.035460000000000005	0.17674593750000003
brca1_bc	brca2_bc	0.3395	0.1945	0.0808	0.33114653846153846
brca1_bc	brca2_oc	-0.5720000000000001	0.6519	0.3803	0.7575265432098766
brca1_bc	breast	0.5445	0.1252	1.375e-05	0.00013291666666666668
brca1_bc	cervix	-0.4168	0.2054	0.04244	0.20512666666666665
brca1_bc	CIMBA_BCAC_TN	0.8434	0.06012000000000001	1.0509999999999998e-44	3.72521111111111e-43
brca1_bc	colon	0.2958	0.1979	0.135	0.483876404494382
brca1_bc	endom	-0.08183	0.1869	0.6616	0.8415523809523808
brca1_bc	gastricesoph	1.024	1.3030000000000002	0.4323	0.7773620111731843
brca1_bc	kidney	0.2588	0.3621	0.4748	0.7971642105263158
brca1_bc	leukemia	0.2726	0.3172	0.3901	0.7633744186046512
brca1_bc	lung	0.2196	0.1795	0.2212	0.6083
